Date,Title,ppc_Title,Tokens
2023-06-01,"하이브, 새 걸그룹 선보인다…데뷔 서바이벌 프로그램 론칭",하이브  새 걸그룹 선보인다 데뷔 서바이벌 프로그램 론칭,하이브 걸그룹 데뷔 서바이벌 프로그램 론칭
2023-06-01,BTS '단체활동 중단' 미리 알고…하이브 직원들 주식매도 적발 [1분뉴스],BTS  단체활동 중단  미리 알고 하이브 직원들 주식매도 적발,단체 활동 중단 하이브 직원 주식 매도 적발
2023-06-01,"미공개정보 이용한 하이브 직원 후회막심?...SM사태 이후 하이브 급등, 카카오 하락",미공개정보 이용한 하이브 직원 후회막심    SM사태 이후 하이브 급등  카카오 하락,공개 정보 이용 하이브 직원 후회 막심 사태 이후 하이브 급등 카카오 하락
2023-06-01,다 오를 때 혼자 부진했는데…'엑소'와의 갈등에 또 다시 악재 맞은 SM,다 오를 때 혼자 부진했는데  엑소 와의 갈등에 또 다시 악재 맞은 SM,때 부진 엑소 와 갈등 악재
2023-06-01,“하이브만이 아니었네”…올해 주식 불공정거래 절반이 '미공개정보 이용',하이브만이 아니었네  올해 주식 불공정거래 절반이  미공개정보 이용,하이브 올해 주식 공정 거래 절반 공개 정보 이용
2023-06-01,'BTS 활동 중단'에 시총 2조 증발…미리 주식 판 하이브 직원들,BTS 활동 중단 에 시총 조 증발 미리 주식 판 하이브 직원들,활동 중단 조 증발 주식 판 하이브 직원
2023-06-01,하이브 적발 금감원…이복현 “내부정보 이용 엄단할 것”,하이브 적발 금감원 이복현  내부정보 이용 엄단할 것,하이브 적발 금감원 복 내부 정보 이용 엄단
2023-06-01,"엔하이픈, (여자)아이들 꺾고 1위…'하이브 신인' 보이넥스트도어 데뷔 (엠카)[종합]",엔하이픈  (여자)아이들 꺾고 위  하이브 신인  보이넥스트도어 데뷔  엠카,엔하이픈 여자 아이 위 하이브 신인 보이넥스트도어 데뷔 엠 카
2023-06-01,"인생네컷으로 아이돌 가능?…하이브 빅히트·쏘스뮤직, '인생네컷 오디션' 개최",인생네컷으로 아이돌 가능  하이브 빅히트 쏘스뮤직   인생네컷 오디션  개최,인생 컷 아이돌 가능 하이브 빅 히트 쏘스뮤직 인생 컷 오디션 개최
2023-06-01,"'하이브 신인' 보이넥스트도어, '엠카'서 음악방송 데뷔",하이브 신인  보이넥스트도어   엠카 서 음악방송 데뷔,하이브 신인 보이넥스트도어 엠 카 서 음악 방송 데뷔
2023-06-01,"하이브, 서바이벌 프로그램 통해 새 걸그룹 뽑는다",하이브  서바이벌 프로그램 통해 새 걸그룹 뽑는다,하이브 서바이벌 프로그램 걸그룹
