Date,Title,ppc_Title,Tokens,Stop_tokens,Sentiment_Word,Pos_Word,Neg_Word,Zero_Word,Score
2023-06-01,"네이버, 금지·혐오 표현 기준 개정…12일부터 정책 적용",네이버  금지 혐오 표현 기준 개정 12일부터 정책 적용,"['네이버', '금지', '혐오', '표현', '기준', '개정', '정책', '적용']",금지 혐오 표현 기준 개정 정책 적용,"금지, 혐오, 정책",,"금지, 혐오","표현, 기준, 개정, 정책, 적용",-3
2023-06-01,"네이버, 초거대 AI로 소상공인 라이브커머스 대본 작성 돕는 이유",네이버  초거대 AI로 소상공인 라이브커머스 대본 작성 돕는 이유,"['네이버', '거대', '상공인', '라이브', '커머스', '대본', '작성', '이유']",거대 상공인 라이브 커머스 대본 작성 이유,"거대, 이유",거대,,"상공인, 라이브, 커머스, 대본, 작성, 이유",1
2023-06-01,네이버 악성 댓글땐 ‘악플러 꼬리표’ 단다,네이버 악성 댓글땐  악플러 꼬리표  단다,"['네이버', '악성', '댓글', '때', '악플', '꼬리표']",악성 댓글 악플 꼬리표,"악성, 댓글, 악플, 꼬리표",,"악성, 악플, 꼬리표",댓글,-5
2023-06-01,네이버가 4달간 중소상공인 브랜드 구축 돕는다,네이버가 4달간 중소상공인 브랜드 구축 돕는다,"['네이버', '중소', '상공인', '브랜드', '구축']",중소 상공인 브랜드 구축,구축,구축,,"중소, 상공인, 브랜드",1
2023-06-01,네이버·카카오 인물정보에 '장례지도사' 등 5개 직업 추가,네이버 카카오 인물정보에  장례지도사  등 5개 직업 추가,"['네이버', '카카오', '인물', '정보', '장례', '지도사', '직업', '추가']",카카오 인물 정보 장례 지도사 직업 추가,"카카오, 정보, 추가",추가,,"카카오, 인물, 정보, 장례, 지도사, 직업",1
2023-06-01,"현대차證 “네이버, 하이퍼클로바X 시장 연착륙할 것”",현대차證  네이버  하이퍼클로바X 시장 연착륙할 것,"['현대차', '네이버', '하이퍼클로바X', '시장', '연착륙']",현대차 하이퍼클로바X 시장 연착륙,"현대차, 시장",,,"현대차, 하이퍼클로바X, 시장, 연착륙",0
2023-06-01,"재난상황 ‘주연’된 네이버...공공인프라 된 플랫폼, 책임 어디까지?",재난상황  주연 된 네이버   공공인프라 된 플랫폼  책임 어디까지,"['재난', '상황', '주연', '네이버', '공공', '인프라', '플랫폼', '책임']",재난 상황 주연 공공 인프라 플랫폼 책임,"재난, 상황, 플랫폼",,재난,"상황, 주연, 공공, 인프라, 플랫폼, 책임",-2
2023-06-01,"AI 웹툰 논란에 네이버·카카오 ""인간 작품만 받는다""",AI 웹툰 논란에 네이버 카카오  인간 작품만 받는다,"['웹툰', '논란', '네이버', '카카오', '인간', '작품']",웹툰 논란 카카오 인간 작품,"논란, 카카오, 인간",,논란,"웹툰, 카카오, 인간, 작품",-1
2023-06-01,네이버가 300억 투자한 패션 플랫폼 ‘브랜디’ 자금 수혈 필요,네이버가 300억 투자한 패션 플랫폼  브랜디  자금 수혈 필요,"['네이버', '투자', '패션', '플랫폼', '브랜디', '자금', '수혈', '필요']",투자 패션 플랫폼 브랜디 자금 수혈 필요,"투자, 플랫폼, 자금, 필요","투자, 자금",필요,"패션, 플랫폼, 브랜디, 수혈",1
2023-06-01,"네이버 마비, 5분 만에 복구됐지만… 실제 재난에선 어쩌나",네이버 마비  5분 만에 복구됐지만  실제 재난에선 어쩌나,"['네이버', '마비', '복구', '재난']",마비 복구 재난,"마비, 복구, 재난",복구,"마비, 재난",,-2
2023-06-01,“트위터 보단 네이버 사용자가 훨씬 많은데…‘실검’ 부활시켰으면”,트위터 보단 네이버 사용자가 훨씬 많은데  실검  부활시켰으면,"['트위터', '네이버', '사용', '실', '검', '부활']",트위터 사용 실 검 부활,부활,부활,,"트위터, 사용, 실, 검",1
2023-06-01,"‘김현철 국정개입 폭로’ 의사, 네이버 고소…“내 자료 파기”",김현철 국정개입 폭로  의사  네이버 고소  내 자료 파기,"['김현철', '국정', '개입', '폭로', '의사', '네이버', '고소', '자료', '파기']",김현철 국정 개입 폭로 의사 고소 자료 파기,"폭로, 고소",,"폭로, 고소","김현철, 국정, 개입, 의사, 자료, 파기",-2
2023-06-01,"‘소년판타지’, MBC-네이버 나우-아베마(ABEMA), 127분 생방송 동시 중계",소년판타지   MBC 네이버 나우 아베마 ABEMA   127분 생방송 동시 중계,"['소년', '판타지', '네이버', '나우', '아베', '방송', '동시', '중계']",소년 판타지 나우 아베 방송 동시 중계,방송,,,"소년, 판타지, 나우, 아베, 방송, 동시, 중계",0
2023-06-01,"前 YS 주치의, 네이버 고소…""내 자료 무단삭제""",前 YS 주치의  네이버 고소  내 자료 무단삭제,"['주치의', '네이버', '고소', '자료', '무단', '삭제']",주치의 고소 자료 무단 삭제,"고소, 무단, 삭제",,"고소, 무단, 삭제","주치의, 자료",-3
2023-06-01,北 발사체 경보 뒤 네이버 5분간 먹통… 시민들 혼란 가중,北 발사체 경보 뒤 네이버 5분간 먹통  시민들 혼란 가중,"['발사체', '경보', '뒤', '네이버', '먹통', '시민', '혼란', '가중']",발사체 경보 뒤 먹통 시민 혼란 가중,"먹통, 혼란",,"먹통, 혼란","발사체, 경보, 뒤, 시민, 가중",-2
2023-06-01,"네이버 계열사 7곳, 임금인상 4.8~6% 잠정합의",네이버 계열사 7곳  임금인상 4 8 6  잠정합의,"['네이버', '계열사', '곳', '임금', '인상', '잠정', '합의']",계열사 곳 임금 인상 잠정 합의,"계열사, 임금, 인상, 잠정, 합의",인상,"잠정, 합의","계열사, 곳, 임금",-1
2023-06-01,"與 포털위, 네이버 뉴스 개편에 ""언론사 클릭장사 격화 우려 나와""",與 포털위  네이버 뉴스 개편에  언론사 클릭장사 격화 우려 나와,"['포털', '위', '네이버', '뉴스', '개편', '언론사', '클릭', '장사', '격화', '우려']",포털 위 뉴스 개편 언론사 클릭 장사 격화 우려,"뉴스, 개편, 격화, 우려",개편,"격화, 우려","포털, 위, 뉴스, 언론사, 클릭, 장사",-1
2023-06-01,네이버페이 대출 갈아타기 오픈… 낮은 금리로 갈아타고 잘 갚으면 포인트 지...,네이버페이 대출 갈아타기 오픈  낮은 금리로 갈아타고 잘 갚으면 포인트 지,"['네이버페이', '대출', '오픈', '금리', '포인트']",네이버페이 대출 오픈 금리 포인트,"대출, 오픈, 금리",오픈,,"네이버페이, 대출, 금리, 포인트",1
2023-06-01,"'네이버 검색 순위 조작'은 돈이 된다, 하지만 검찰에 들켰죠?",네이버 검색 순위 조작 은 돈이 된다  하지만 검찰에 들켰죠,"['네이버', '검색', '순위', '조작', '은', '돈', '검찰']",검색 순위 조작 돈 검찰,조작,,조작,"검색, 순위, 돈, 검찰",-1
